" ","VGCPastes Repository (Champions M-A Featured Teams!)","","","","","","","","","","","","","","","","","","","","","","326","","","","","Total Creator Count: ","243","","","Teams with Rentals: ","169","","","","","Teams included here:
International/Regional: Day 2
Local: Top 4
Special Online Tour: Top Cut","","Ladder: Top 300 Champions Tier (End of season), Top 100 Peak
Online Tour (200+ Players): Top 16
Online Tour (100+ Players): Top 8
Online Tour: Top 4
","","","","","",""
"PC834","Ladder","JMOdri's Ranked Season M-1 34th Place Team","","Juan Manuel Odriozola","","","","Glimmoranite","","","Charizardite Y","","","Colbur Berry","","","Focus Sash","","","Coba Berry","","","Sitrus Berry","","https://pokepast.es/8427f34054b1ea9a","Yes","Extracted","✔","TFMSD6R1S9","12 May 2026","Ranked Season M-1","34th","https://x.com/jmodrivgc/status/2054444264679993543?s=46","-","-","jmodrivgc","","Glimmora-Mega","Charizard","Basculegion","Weavile","Whimsicott","Garchomp","","",""
"PC833","Ladder","tikuwa_0123's Ranked Season M-1 36th Place Team","","tikuwa_0123","","","","Blastoisinite","","","Gardevoirite","","I","","","","Focus Sash","","","White Herb","","","Roseli Berry","","https://pokepast.es/0c348c4f9f55a925","Yes","Extracted","✔","71E34K6H4X","13 May 2026","Ranked Season M-1","36th","https://x.com/tikuwa_0123/status/2054480740432449798","-","-","tikuwa_0123","","Blastoise-Mega","Gardevoir-Mega","Talonflame","Basculegion","Archaludon","Garchomp","","",""
"PC832","Ladder","Ryoma's Ranked Season M-1 44th Place Team","","Ryoma Okamoto","","","","Floettite","","","Charizardite Y","","","Leftovers","","","Sitrus Berry","","","Focus Sash","","","Choice Scarf","","https://pokepast.es/97d33b404ea20e58","Yes","Extracted","✔","R7PWW2S6VW","15 May 2026","Ranked Season M-1","44th","https://x.com/ryoma9901_poke/status/2055228932652519636?s=46","https://note.com/ryoma9901_poke/n/nd2c373ff3d3c?sub_rt=share_pb","-","ryoma9901_poke","","Floette-Eternal-Mega","Charizard","Incineroar","Sinistcha","Aegislash","Garchomp","","",""
"PC831","Ladder","Kurotama's Ranked Season M-1 46th Place Team","","Ryosuke Hamasato","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Coba Berry","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/1a803457ea32448d","Yes","Extracted","✔","W7DSNVREYN","14 May 2026","Ranked Season M-1","46th","https://x.com/bale_tottenham/status/2055144607399481358?s=46","https://bale-tottenham.hatenablog.com/entry/2026/05/15/034538","-","bale_tottenham","","Charizard","Basculegion","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC830","Ladder","shuuka_poke's Ranked Season M-1 51st Place Team","","shuuka_poke","","","","Floettite","","","Gengarite","","","Sitrus Berry","","","Chople Berry","","","Kasib Berry","","","Leftovers","","https://pokepast.es/e4f725625d979e02","Yes","Extracted","✔","TB27FN7J2L","12 May 2026","Ranked Season M-1","51st","https://x.com/shuuka_poke/status/2054445910583857295?s=46","-","-","shuuka_poke","","Floette-Eternal-Mega","Gengar-Mega","Incineroar","Maushold-Four","Sinistcha","Kommo-o","","",""
"PC829","Ladder","soramitu's Ranked Season M-1 52nd Place Team","","Yasuharu Shimizu","","","","Tyranitarite","","","Sitrus Berry","","","Focus Sash","","","White Herb","","","Leftovers","","","Roseli Berry","","https://pokepast.es/a24d2ccadeba5bfe","Yes","Extracted","✔","UN6UY3YGA0","13 May 2026","Ranked Season M-1","52nd","https://x.com/soramitu0322/status/2054501933654986895?s=46","https://note.com/soramithu/n/n4170ee3f9407?sub_rt=share_pb","-","soramitu0322","","Tyranitar-Mega","Rotom-Wash","Gallade","Sneasler","Corviknight","Garchomp","","",""
"PC828","Ladder","toracado2025's Ranked Season M-1 54th Place Team","","toracado2025","","","","Cameruptite","","","Crabominite","","","Mystic Water","","","Focus Sash","","","Colbur Berry","","","Black Glasses","","https://pokepast.es/9bd832ff63d092ec","Yes","Extracted","✔","N1EU0XU4NK","13 May 2026","Ranked Season M-1","54th","https://x.com/toracado2025/status/2054462968834990202","https://note.com/hearty_minnow570/n/na48f7cb6b95a","-","toracado2025","","Camerupt-Mega","Crabominable-Mega","Azumarill","Gallade","Farigiraf","Kingambit","","",""
"PC827","Ladder","syatenie's Ranked Season M-1 61st Place Team","","syatenie","","","","Floettite","","","Froslassite","","","Colbur Berry","","","White Herb","","","Focus Sash","","","Black Glasses","","https://pokepast.es/63c89cd5288868b7","Yes","Extracted","✔","FY6WXCJETF","19 May 2026","Ranked Season M-1","61st","https://x.com/syatenie/status/2056762486234521810?s=46","https://yakkun.com/bbs/party/n7692","-","syatenie","","Floette-Eternal-Mega","Froslass-Mega","Basculegion","Sneasler","Whimsicott","Kingambit","","",""
"PC826","Ladder","hanashi's Ranked Season M-1 62nd Place Team","","hanashi","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","Mental Herb","","","Black Glasses","","","Dragon Fang","","https://pokepast.es/d3f2d9b8de83e958","Yes","Extracted","X","None","12 May 2026","Ranked Season M-1","62nd","https://x.com/hanashi_874_/status/2054459998659637734?s=46","-","-","hanashi_874_","","Floette-Eternal-Mega","Charizard","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC825","Ladder","Mutou's Ranked Season M-1 81st Place Team","","Mutou","","","","Blastoisinite","","","White Herb","","","Mental Herb","","","Coba Berry","","","Sitrus Berry","","","Metal Coat","","https://pokepast.es/08faae6de43bfd7b","Yes","Extracted","✔","5DSX8EMFFS","12 May 2026","Ranked Season M-1","81st","https://x.com/mutou610poke/status/2054452244024811632?s=46","https://t.co/dobqSmvuMv","-","mutou610poke","","Blastoise-Mega","Sneasler","Meowstic","Sinistcha","Orthworm","Scizor","","",""
"PC824","Ladder","tomachikonoyubi's Ranked Season M-1 83rd Place Team","","tomachikonoyubi","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/504d67dc8354f602","Yes","Extracted","✔","8YKP3TCNQU","13 May 2026","Ranked Season M-1","83rd","https://x.com/tomachikonoyubi/status/2054527464161136715?s=46","-","-","tomachikonoyubi","","Aerodactyl-Mega","Charizard","Aegislash","Kingambit","Sylveon","Garchomp","","",""
"PC823","Ladder","Nicco3003's Ranked Season M-1 99th Place Team","","Nicco3003","","","","Floettite","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Fairy Feather","","","Colbur Berry","","https://pokepast.es/677e22143b1c107b","Yes","Extracted","✔","G2TS06T2G0","13 May 2026","Ranked Season M-1","99th","https://x.com/niccovgc/status/2054479056901439922?s=46","-","-","niccovgc","","Floette-Eternal-Mega","Charizard","Basculegion","Glimmora","Whimsicott","Farigiraf","","",""
"PC822","Ladder","yamasho's Ranked Season M-1 103rd Place Team","","yamasho","","","","Gardevoirite","","","Sitrus Berry","","","Kasib Berry","","","Scope Lens","","","Focus Sash","","","Roseli Berry","","https://pokepast.es/364d77d3a26fce92","Yes","Owner's","✔","QF397UVK8U","14 May 2026","Ranked Season M-1","103rd","https://x.com/yamasho_poke/status/2054503596461556108?s=46","https://iq-3.hatenablog.com/entry/2026/05/13/190000","-","yamasho_poke","","Gardevoir-Mega","Incineroar","Basculegion","Samurott-Hisui","Maushold","Garchomp","","",""
"PC821","Ladder","zero's Ranked Season M-1 109th Place Team","","zero","","","","Froslassite","","","Lopunnite","","","Focus Sash","","","White Herb","","","Choice Scarf","","","Dragon Fang","","https://pokepast.es/d8ba7fa2155bc14f","Yes","Extracted","✔","FE3TJ94SGF","13 May 2026","Ranked Season M-1","109th","https://x.com/zezerozero/status/2055401559908118696?s=46","https://zezerozero.hatenablog.com/entry/2026/05/04/213851","-","zezerozero","","Froslass-Mega","Lopunny-Mega","Excadrill","Sneasler","Tyranitar","Kommo-o","","",""
"PC820","Ladder","cona's Ranked Season M-1 116th Place Team","","Hiroshi Onishi","","","","Dragoninite","","","Lopunnite","","I","","","","Focus Sash","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/d8b7c318259cf003","Yes","Extracted","✔","ERSSD75WUU","15 May 2026","Ranked Season M-1","116th","https://x.com/cona_5757/status/2055204610164642202?s=46","https://note.com/cona_5757/n/n11ec5dacbf56?sub_rt=share_pw","-","cona_5757","","Dragonite-Mega","Lopunny-Mega","Talonflame","Basculegion","Sylveon","Archaludon","","",""
"PC819","Ladder","CHORI's Ranked Season M-1 144th Place Team","","CHORI","","","","Blastoisinite","","","Floettite","","I","","","","Focus Sash","","","White Herb","","","Chople Berry","","https://pokepast.es/b3987bcff7229008","Yes","Extracted","✔","0UFTPG3P2A","12 May 2026","Ranked Season M-1","144th","https://x.com/chori_002/status/2054448929023066121?s=46","https://note.com/chori_002/n/n7169de60b3d0?sub_rt=share_sb","-","chori_002","","Blastoise-Mega","Floette-Eternal-Mega","Talonflame","Basculegion","Sneasler","Kingambit","","",""
"PC818","Ladder","homura_kurenai_'s Ranked Season M-1 146th Place Team","","homura_kurenai_","","","","Venusaurite","","","Choice Scarf","","","Sitrus Berry","","","Roseli Berry","","","Kasib Berry","","","Leftovers","","https://pokepast.es/e613251e21d7c8ed","Yes","Extracted","✔","A4YET4V6TV","12 May 2026","Ranked Season M-1","146th","https://x.com/homura_kurenai_/status/2054381115696353781?s=46","https://note.com/homura_kurenai_/n/nd4baa79988a3?sub_rt=share_pb","-","homura_kurenai_","","Venusaur-Mega","Basculegion","Pelipper","Sableye","Sinistcha","Archaludon","","",""
"PC817","Ladder","naniroma's Ranked Season M-1 180th Place Team","","naniroma","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","Sitrus Berry","","","Colbur Berry","","","Soft Sand","","https://pokepast.es/c365ad317c0dc026","Yes","Extracted","✔","HFJBY6VBQY","12 May 2026","Ranked Season M-1","180th","https://x.com/naniromaaa/status/2054448403505877261?s=46","-","-","naniromaaa","","Floette-Eternal-Mega","Charizard","Glimmora","Whimsicott","Farigiraf","Garchomp","","",""
"PC816","Ladder","JoeUX9's Ranked Season M-1 193rd Place Team","","Joseph Ugarte","","","","Tyranitarite","","","Sitrus Berry","","","Focus Sash","","","Leftovers","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/76a06a01fcb5c2f9","Yes","Extracted","X","None","13 May 2026","Ranked Season M-1","193rd","https://youtu.be/OMoagE78z4Q?si=fsHNLoKsgXVOK1Um","-","-","JoeUX9","","Tyranitar-Mega","Rotom-Wash","Excadrill","Corviknight","Mimikyu","Hydreigon","","",""
"PC815","Ladder","hiyu000000's Ranked Season M-1 196th Place Team","","hiyu000000","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","White Herb","","","Black Glasses","","","Choice Scarf","","https://pokepast.es/2d0c768da1977bcb","Yes","Extracted","✔","3WVRDTEFVP","26 May 2026","Ranked Season M-1","196th","https://x.com/hiyu000000/status/2059274998343512452?s=46","https://note.com/hiyu7777/n/ne867f3d4ab18?app_launch=false","-","hiyu000000","","Floette-Eternal-Mega","Charizard","Aerodactyl","Sneasler","Kingambit","Garchomp","","",""
"PC814","Ladder","Misaka's Ranked Season M-1 209th Place Team","","Misaka","","","","Gengarite","","","Passho Berry","","","Sitrus Berry","","","Chople Berry","","","Kasib Berry","","","Leftovers","","https://pokepast.es/ee05ab43d43910d5","Yes","Extracted","✔","140H72KC4D","20 May 2026","Ranked Season M-1","209th","https://x.com/agmewtwo/status/2057027065275400521?s=46","-","-","agmewtwo","","Gengar-Mega","Incineroar","Politoed","Maushold","Sinistcha","Kommo-o","","",""
"PC813","Ladder","clefablepoke's Ranked Season M-1 210th Place Team","","clefablepoke","","","","Dragoninite","","","Focus Sash","","","Coba Berry","","","Choice Scarf","","","Chople Berry","","","Leftovers","","https://pokepast.es/c34afb3b1938958c","Yes","Extracted","✔","DL8B1DUVM5","12 May 2026","Ranked Season M-1","210th","https://x.com/clefablepoke/status/2054455556627407320?s=46","-","-","clefablepoke","","Dragonite-Mega","Pelipper","Tsareena","Gallade","Maushold-Four","Archaludon","","",""
"PC812","Ladder","poke07181606's Ranked Season M-1 213th Place Team","","poke07181606","","","","Lopunnite","","","Charizardite Y","","","Focus Sash","","","Colbur Berry","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/dbc0dea74332c0e3","Yes","Extracted","✔","WJ49MVKUP5","13 May 2026","Ranked Season M-1","213th","https://x.com/poke07181606/status/2054453098547204496?s=46","https://hunk42ga3.hatenadiary.jp/entry/2026/05/13/154304","-","poke07181606","","Lopunny-Mega","Charizard","Basculegion","Farigiraf","Sylveon","Archaludon","","",""
"PC811","Ladder","nogashi_pokemon's Ranked Season M-1 230th Place Team","","nogashi_pokemon","","","","Aerodactylite","","","Froslassite","","","Focus Sash","","","White Herb","","","Chople Berry","","","Choice Scarf","","https://pokepast.es/eb6487af2ea9f2cd","Yes","Extracted","✔","B71834GLRK","14 May 2026","Ranked Season M-1","230th","https://x.com/nogashi_pokemon/status/2054834117041410197?s=46","https://nogashi-pokemon.hatenablog.com/entry/2026/05/14/170000","-","nogashi_pokemon","","Aerodactyl-Mega","Froslass-Mega","Basculegion","Sneasler","Kingambit","Hydreigon","","",""
"PC810","Ladder","DDee's Ranked Season M-1 246th Place Team","","Michael Uko","","","","Floettite","","","Gengarite","","","Sitrus Berry","","","Choice Scarf","","","White Herb","","","Focus Sash","","https://pokepast.es/c29da3dfc661920f","Yes","Extracted","✔","741Q34ETE1","13 May 2026","Ranked Season M-1","246th","https://x.com/ddee_ssbu/status/2054515747913715894?s=46","-","-","ddee_ssbu","","Floette-Eternal-Mega","Gengar-Mega","Incineroar","Samurott-Hisui","Sneasler","Ninetales-Alola","","",""
"PC809","Ladder","white_shade25's Ranked Season M-1 247th Place Team","","white_shade25","","","","Froslassite","","","Focus Sash","","","White Herb","","","Leftovers","","","Chople Berry","","","Choice Scarf","","https://pokepast.es/ae0aa2af6c02fd1c","Yes","Extracted","✔","RS8J3VSVKE","13 May 2026","Ranked Season M-1","247th","https://x.com/white_shade25/status/2054524932479213994?s=46","https://shadez.hatenablog.com/entry/2026/05/08/200509","-","white_shade25","","Froslass-Mega","Basculegion","Sneasler","Snorlax","Kingambit","Garchomp","","",""
"PC808","Ladder","uest_dego's Ranked Season M-1 251st Place Team","","uest_dego","","","","Froslassite","","","Choice Scarf","","","White Herb","","","Colbur Berry","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/cb6b5f2cc2b66d54","Yes","Extracted","✔","0QP19VPR8U","14 May 2026","Ranked Season M-1","251st","https://x.com/uest_dego/status/2054853249019298252?s=46","https://pacchirin.hatenablog.com/entry/2026/05/14/181408","-","uest_dego","","Froslass-Mega","Rotom-Wash","Sneasler","Farigiraf","Kingambit","Garchomp","","",""
"PC807","Ladder","tetspond's Ranked Season M-1 261st Place Team","","tetspond","","","","Pinsirite","","","Choice Scarf","","","Hard Stone","","","Silk Scarf","","","Mental Herb","","","Sitrus Berry","","https://pokepast.es/a49e93dc5bea4939","Yes","Extracted","✔","TQ3N1AVTJE","16 May 2026","Ranked Season M-1","261st","https://x.com/tetspond/status/2055568233550471238?s=46","https://tetspond.hatenablog.com/entry/2026/05/16/162056","-","tetspond","","Pinsir-Mega","Camerupt","Tauros-Paldea-Aqua","Garganacl","Whimsicott","Farigiraf","","",""
"PC806","Ladder","Wild's Ranked Season M-1 293rd Place Team","","Wild","","","","Gengarite","","","Spell Tag","","","Mystic Water","","I","King&#39;s Rock","","","Roseli Berry","","","Chople Berry","","https://pokepast.es/9dc62063d13267be","Yes","Extracted","X","None","13 May 2026","Ranked Season M-1","293rd","https://x.com/ace_wild/status/2054570136099856685?s=46","-","-","ace_wild","","Gengar-Mega","Basculegion","Pelipper","Maushold-Four","Sableye","Archaludon","","",""
"PC790","Ladder","Brian's Showdown Ladder Peak 4th Place Aerodactyl Team","","Brian Youm","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/071ccbb83885360a","Yes","Extracted","X","None","14 May 2026","Showdown Ladder","Peak 4th","https://x.com/playmakeryoum/status/2054946429471244581?s=46","-","-","playmakeryoum","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC789","Ladder","Brian's Showdown Ladder Peak 4th Place Glimmora Team","","Brian Youm","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Fairy Feather","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/868af4a892140681","Yes","Extracted","X","None","14 May 2026","Showdown Ladder","Peak 4th","https://x.com/playmakeryoum/status/2054946429471244581?s=46","-","-","playmakeryoum","","Charizard","Basculegion","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC788","Ladder","Brian's Showdown Ladder Peak 4th Place Floette Team","","Brian Youm","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/6fc20ff94dbb449c","Yes","Extracted","X","None","14 May 2026","Showdown Ladder","Peak 4th","https://x.com/playmakeryoum/status/2054946429471244581?s=46","-","-","playmakeryoum","","Floette-Eternal-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC787","Ladder","Conner's Showdown Ladder Peak 10th Place Vivillon Team","","Conner P.","","","","Charizardite Y","","","Floettite","","","Passho Berry","","","Mystic Water","","","Focus Sash","","","Sitrus Berry","","https://pokepast.es/0b77e085c8177eb3","Yes","Owner's","X","None","16 May 2026","Showdown Ladder","Peak 10th","https://x.com/Conner138382472/status/2055348966326247885","-","-","Conner138382472","","Charizard-Mega-Y","Floette-Eternal-Mega","Incineroar","Basculegion","Vivillon","Garchomp","","",""
"PC542","Ladder","brutetemp's Glimmora Torterra (Finalized Version) Team","","brutetemp","","","","Glimmoranite","","","Scizorite","","","Shuca Berry","","","Choice Scarf","","","Sitrus Berry","","","Leftovers","","https://pokepast.es/ddd1e5c85adbef80","Yes","Owner's","X","None","30 Apr 2026","Showdown Ladder","Peak 3rd","https://x.com/brutetemp/status/2050038642073371120?s=46","-","-","brutetemp","","Glimmora-Mega","Scizor-Mega","Incineroar","Rotom-Wash","Torterra","Dragonite","","",""
"PC1038","Special Online Tour","José Francisco Gálvez's VR June Challenge Champion Team","🥇","José Francisco Gálvez","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/9a9b9dd9d3546a5e","No","Extracted","X","None","7 Jun 2026","VR June Challenge","Champion","https://x.com/CerealesIsTaken/status/2063684337933906116","-","https://victoryroad.pro/vr-jun26/","CerealesIsTaken","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC1037","Special Online Tour","David Gidov's VR June Challenge Runner Up Team","🥈","David Gidov","","","","Froslassite","","","Scovillainite","","","Sitrus Berry","","","Focus Sash","","","White Herb","","","Black Glasses","","https://pokepast.es/7c62a2347ab5ad70","Yes","Owner's","X","None","7 Jun 2026","VR June Challenge","Runner Up","https://x.com/ARegularUser1/status/2063686790276370712","-","https://victoryroad.pro/vr-jun26/","ARegularUser1","","Froslass-Mega","Scovillain-Mega","Basculegion","Lycanroc-Dusk","Sneasler","Kingambit","","",""
"PC1036","Special Online Tour","Alejandro Montero's VR June Challenge Top 4 Team","🥉","Alejandro Montero","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","White Herb","","","Black Glasses","","","Soft Sand","","https://pokepast.es/de1131b4635700f5","No","Extracted","X","None","7 Jun 2026","VR June Challenge","3rd","https://x.com/Shishio_Ax/status/2063668037891277306","-","https://victoryroad.pro/vr-jun26/","Shishio_Ax","","Floette-Eternal-Mega","Charizard","Aerodactyl","Sneasler","Kingambit","Garchomp","","",""
"PC1035","Special Online Tour","Ryosuke Kondo's VR June Challenge Top 4 Team","🥉","Ryosuke Kondo","","","","Delphoxite","","","Floettite","","","Sitrus Berry","","","Focus Sash","","","Occa Berry","","","Black Glasses","","https://pokepast.es/f9281474754a1bae","No","Extracted","X","None","7 Jun 2026","VR June Challenge","4th","https://x.com/ryokonVGC","-","https://victoryroad.pro/vr-jun26/","Manual Entry","","Delphox-Mega","Floette-Eternal-Mega","Incineroar","Sneasler","Sinistcha","Kingambit","","",""
"PC1034","Special Online Tour","Koji Kanamori's VR June Challenge Top 8 Team","","Koji Kanamori","","","","Froslassite","","","Focus Sash","","","Choice Scarf","","","White Herb","","","Fairy Feather","","","Chople Berry","","https://pokepast.es/2d2970cd03cebb8f","No","Extracted","X","None","7 Jun 2026","VR June Challenge","5th","https://x.com/K4N4EL/status/2063764279355129892","-","https://victoryroad.pro/vr-jun26/","K4N4EL","","Froslass-Mega","Arcanine-Hisui","Basculegion","Sneasler","Whimsicott","Kingambit","","",""
"PC1033","Special Online Tour","Conan Yoshikawa's VR June Challenge Top 8 Team","","Conan Yoshikawa","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Occa Berry","","","Sitrus Berry","","https://pokepast.es/f568cd3b95ea7c0e","No","Extracted","X","None","7 Jun 2026","VR June Challenge","6th","https://x.com/conanyk","-","https://victoryroad.pro/vr-jun26/","Manual Entry","","Floette-Eternal-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC1032","Special Online Tour","Taran Birdee's VR June Challenge Top 8 Team","","Taran Birdee","","","","Floettite","","","Chople Berry","","","Choice Scarf","","","Focus Sash","","","Black Glasses","","","Dragon Fang","","https://pokepast.es/c5cc9cf1f187d3b0","No","Extracted","X","None","7 Jun 2026","VR June Challenge","7th","https://x.com/AuraRayquaza","-","https://victoryroad.pro/vr-jun26/","Manual Entry","","Floette-Eternal-Mega","Incineroar","Basculegion","Sneasler","Kingambit","Dragonite","","",""
"PC1031","Special Online Tour","Joshua Wong's VR June Challenge Top 8 Team","","Joshua Wong","","","","Froslassite","","","Focus Sash","","","Choice Scarf","","","White Herb","","","Fairy Feather","","","Chople Berry","","https://pokepast.es/4f6697bd7b18f4c2","No","Extracted","X","None","7 Jun 2026","VR June Challenge","8th","https://x.com/KuribohVGC","-","https://victoryroad.pro/vr-jun26/","Manual Entry","","Froslass-Mega","Arcanine-Hisui","Basculegion","Sneasler","Whimsicott","Kingambit","","",""
"PC1030","Special Online Tour","Dorian Kang's VR June Challenge Top 16 Team","","Dorian Kang","","","","Scizorite","","","Tyranitarite","","","Mystic Water","","","White Herb","","","Sitrus Berry","","","Colbur Berry","","https://pokepast.es/d7bf3dead8a31e69","No","Extracted","X","None","7 Jun 2026","VR June Challenge","9th","https://x.com/SlycedBread","-","https://victoryroad.pro/vr-jun26/","Manual Entry","","Scizor-Mega","Tyranitar-Mega","Primarina","Sneasler","Sinistcha","Dragapult","","",""
"PC1029","Special Online Tour","Mike Fiorita's VR June Challenge Top 16 Team","","Mike Fiorita","","","","Froslassite","","","Tyranitarite","","","Focus Sash","","","Occa Berry","","","Sitrus Berry","","","Choice Scarf","","https://pokepast.es/e254043c9f63a8f9","No","Extracted","X","None","7 Jun 2026","VR June Challenge","10th","https://x.com/mikewwm8/status/2063685778941542599","-","https://victoryroad.pro/vr-jun26/","mikewwm8","","Froslass-Mega","Tyranitar-Mega","Arcanine-Hisui","Corviknight","Garchomp","Hydreigon","","",""
"PC985","Special Online Tour","NikolajHoej's VR May Challenge #5 Champion Team","🥇","Nikolaj Høj Nielsen","","","","Floettite","","","Focus Sash","","","White Herb","","","Choice Scarf","","","Fairy Feather","","","Black Glasses","","https://pokepast.es/47ea5e0699f2f6f4","No","Extracted","X","None","31 May 2026","VR May Challenge #5","Champion","https://x.com/NikolajHoej/status/2061034633228173752","-","https://victoryroad.pro/vr-may26-5/","NikolajHoej","","Floette-Eternal-Mega","Arcanine-Hisui","Sneasler","Zoroark-Hisui","Whimsicott","Kingambit","","",""
"PC984","Special Online Tour","Jeonghwan Jeon's VR May Challenge #5 Runner Up Team","🥈","Jeonghwan Jeon","","","","Gengarite","","","Leftovers","","","Focus Sash","","","Chople Berry","","","Never-Melt Ice","","","Sitrus Berry","","https://pokepast.es/d6d37e9e5dd069de","No","Extracted","X","None","31 May 2026","VR May Challenge #5","Runner Up","https://x.com/jjh4520/status/2061035703379898773","-","https://victoryroad.pro/vr-may26-5/","jjh4520","","Gengar-Mega","Incineroar","Sneasler","Kingambit","Ninetales-Alola","Garchomp","","",""
"PC983","Special Online Tour","Taro Okada's VR May Challenge #5 Top 4 Team","🥉","Taro Okada","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","Fairy Feather","","","Occa Berry","","","Sitrus Berry","","https://pokepast.es/bcc61848b2a37d8b","No","Extracted","X","None","31 May 2026","VR May Challenge #5","3rd","https://x.com/Nagisa_154","-","https://victoryroad.pro/vr-may26-5/","Manual Entry","","Floette-Eternal-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC982","Special Online Tour","Ramon Diaz's VR May Challenge #5 Top 4 Team","🥉","Ramon Diaz","","","","Floettite","","","Garchompite","","","Leftovers","","","Focus Sash","","","Sitrus Berry","","","Chople Berry","","https://pokepast.es/3aafbb117b513ef8","No","Extracted","X","None","31 May 2026","VR May Challenge #5","4th","No Tweet","-","https://victoryroad.pro/vr-may26-5/","Manual Entry","","Floette-Eternal-Mega","Garchomp-Mega","Incineroar","Sneasler","Sinistcha","Kingambit","","",""
"PC981","Special Online Tour","Madeline Tynan's VR May Challenge #5 Top 8 Team","","Madeline Tynan","","","","Dragoninite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Roseli Berry","","https://pokepast.es/4a1212f0e9d90b84","No","Extracted","X","None","31 May 2026","VR May Challenge #5","5th","https://x.com/starlingvgc/status/2061018061461709152","-","https://victoryroad.pro/vr-may26-5/","starlingvgc","","Dragonite-Mega","Charizard","Whimsicott","Kingambit","Sylveon","Garchomp","","",""
"PC980","Special Online Tour","FedeCampoVGC's VR May Challenge #5 Top 8 Team","","Federico Camporesi","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Fairy Feather","","","Black Glasses","","","Sitrus Berry","","https://pokepast.es/05e184a9cb332ce8","No","Extracted","X","None","31 May 2026","VR May Challenge #5","6th","https://x.com/FedeCampoVGC/status/2061013627444908484","-","https://victoryroad.pro/vr-may26-5/","FedeCampoVGC","","Charizard","Basculegion","Sneasler","Whimsicott","Kingambit","Garchomp","","",""
"PC979","Special Online Tour","Goshi Kawamura's VR May Challenge #5 Top 8 Team","","Goshi Kawamura","","","","Floettite","","","Charizardite Y","","","Charcoal","","","Mystic Water","","","Focus Sash","","","Roseli Berry","","https://pokepast.es/9e86ffb4a5a93a51","No","Extracted","X","None","31 May 2026","VR May Challenge #5","7th","https://x.com/chappi_1129/status/2061042919071682560","-","https://victoryroad.pro/vr-may26-5/","chappi_1129","","Floette-Eternal-Mega","Charizard","Incineroar","Basculegion","Whimsicott","Garchomp","","",""
"PC978","Special Online Tour","KoonKy's VR May Challenge #5 Top 8 Team","","Koen van Cann","","","","Cameruptite","","","Crabominite","","","Charcoal","","","Focus Sash","","","Sitrus Berry","","","Black Glasses","","https://pokepast.es/3f415c2c05818af1","No","Extracted","X","None","31 May 2026","VR May Challenge #5","8th","https://x.com/koon_ky/status/2060714336369209392","-","https://victoryroad.pro/vr-may26-5/","koon_ky","","Camerupt-Mega","Crabominable-Mega","Incineroar","Vivillon","Farigiraf","Kingambit","","",""
